sample	strainID	count_correct_thresh	f_thresh	replicate	strep_conc	transfers	n_species	community_type	plate_well	batch
8_16_H11	HAMBI_0403	0	0	1	256	8	8	experiment	H11	run20250502
8_16_H11	HAMBI_1287	3597	0.18044547005116884	1	256	8	8	experiment	H11	run20250502
8_16_H11	HAMBI_1896	1812	0.09089996990067221	1	256	8	8	experiment	H11	run20250502
8_16_H11	HAMBI_1977	4558	0.22865456004815893	1	256	8	8	experiment	H11	run20250502
8_17	HAMBI_0403	1381	0.07283755274261604	1	0	0	8	master	NA	run20250502
8_17	HAMBI_1287	2460	0.12974683544303797	1	0	0	8	master	NA	run20250502
8_17	HAMBI_1896	3409	0.17979957805907174	1	0	0	8	master	NA	run20250502
8_17	HAMBI_1977	2230	0.11761603375527427	1	0	0	8	master	NA	run20250502
8_17_A03	HAMBI_0403	0	0	1	0	8	8	experiment	A03	run20250502
8_17_A03	HAMBI_1287	6531	0.4338958277969705	1	0	8	8	experiment	A03	run20250502
8_17_A03	HAMBI_1896	995	0.0661041722030295	1	0	8	8	experiment	A03	run20250502
8_17_A03	HAMBI_1977	0	0	1	0	8	8	experiment	A03	run20250502
8_17_A06	HAMBI_0403	0	0	1	16	8	8	experiment	A06	run20250502
8_17_A06	HAMBI_1287	5333	0.28288775726713344	1	16	8	8	experiment	A06	run20250502
8_17_A06	HAMBI_1896	4093	0.21711224273286653	1	16	8	8	experiment	A06	run20250502
8_17_A06	HAMBI_1977	0	0	1	16	8	8	experiment	A06	run20250502
8_17_A09	HAMBI_0403	0	0	1	64	8	8	experiment	A09	run20250502
8_17_A09	HAMBI_1287	7501	0.44258909605853197	1	64	8	8	experiment	A09	run20250502
8_17_A09	HAMBI_1896	973	0.05741090394146802	1	64	8	8	experiment	A09	run20250502
8_17_A09	HAMBI_1977	0	0	1	64	8	8	experiment	A09	run20250502
8_17_A12	HAMBI_0403	0	0	1	256	8	8	experiment	A12	run20250502
8_17_A12	HAMBI_1287	2243	0.1491951576426766	1	256	8	8	experiment	A12	run20250502
8_17_A12	HAMBI_1896	1631	0.1084874284954104	1	256	8	8	experiment	A12	run20250502
8_17_A12	HAMBI_1977	3643	0.242317413861913	1	256	8	8	experiment	A12	run20250502
